sorteo,fecha,posicion,resultado
2331,2026-05-04,1,E
2331,2026-05-04,2,L
2331,2026-05-04,3,V
2331,2026-05-04,4,V
2331,2026-05-04,5,L
2331,2026-05-04,6,L
2331,2026-05-04,7,E
2331,2026-05-04,8,L
2331,2026-05-04,9,E
2331,2026-05-04,10,E
2331,2026-05-04,11,E
2331,2026-05-04,12,E
2331,2026-05-04,13,V
2331,2026-05-04,14,L
2330,2026-04-27,1,V
2330,2026-04-27,2,V
2330,2026-04-27,3,V
2330,2026-04-27,4,L
2330,2026-04-27,5,V
2330,2026-04-27,6,E
2330,2026-04-27,7,E
2330,2026-04-27,8,L
2330,2026-04-27,9,V
2330,2026-04-27,10,E
2330,2026-04-27,11,V
2330,2026-04-27,12,V
2330,2026-04-27,13,L
2330,2026-04-27,14,E

